"phrasal_verb","data.derivatives","data.descriptions","data.examples","data.frequency","data.synonyms","data.difficulty","data.tags"
"add on","[""adds on"",""adding on"",""added on""]","[""to build an extra part onto a building"",""to include an extra thing or amount in something""]","[""He told the man at the check stand that he was installing a tub in an add-on bathroom."",""The referee added on eight minutes of injury time."",""They refurbished the whole place and even added on.""]",2,\N,"Easy",\N
"add on to","[""adds on to"",""adding on to"",""added on to""]","[""to build an extra part onto a building""]","[""You might want to add on to the kitchen at a later date.""]",\N,\N,"Easy",\N
"add to","[""adds to"",""adding to"",""added to""]","[""to make an amount or number greater by adding another amount or number"",""to make something such as a feeling or a quality greater or more extreme""]","[""Add the amount of tax you paid to the total."",""All her many expenses were added to my bill."",""The arrival of five more guests only added to the confusion.""]",\N,\N,"Easy",\N
"add up","[""adds up"",""adding up"",""added up""]","[""if a set of facts does not add up, you do not believe it is correct because it does not match other information that you already have"",""if small amounts add up, they gradually produce a large total"",""to calculate the total of several numbers or amounts""]","[""All these little expenses soon add up."",""Even now most governments are assuming that people's claims collectively can be made to add up by a growing economy."",""How did the numbers add up for your club in the transfer window?"",""I’m not very good at adding up in my head."",""Now add up the number of calories you have eaten."",""Now all he is doing is adding up how long he has to serve."",""There’s something about this case that just doesn’t add up.""]",3,"[""expand"",""flourish"",""grow"",""thrive""]","Easy",\N
"add up to","[""adds up to"",""adding up to"",""added up to""]","[""if separate amounts add up to a total amount, together they form that total"",""to combine to produce a particular result or effect""]","[""All can add up to a bitter pill to swallow."",""All that can add up to a significant weight loss."",""Family and friends can add up to 1,200 a year into the accounts."",""His business expenses add up to around £4,000 a year."",""It can add up to 3lb."",""It sounds like harmless fun - but kids' soaring expectations can add up to a financial crisis for parents."",""Pick the ones you fancy so they add up to your daily total."",""Plus, you can still add up to three snacks a week, too!"",""Regular use of either can add up to 6lb."",""Retailers make huge profits from extended warranties, which can add up to 50 per cent of the purchase price."",""Similarly, excesses can add up to nearly 1,000."",""That adds up to a total loss of nearly 10,000 over 20 years."",""The conditions, atmosphere and pitch can all add up to difficult nights."",""The total added up to three times the actual profits."",""These new measures do not add up to genuine reform."",""They include the most serious charge of aiding the enemy and could add up to a cumulative total of 154 years in jail."",""This may seem easier said than done - be aware that toiletries take up a lot of space and can add up to quite a weight."",""You also avoid paying things like valuation, legal and exit fees which can add up to 600 or more.""]",0,"[""amount to"",""come to"",""make"",""total""]","Medium",\N
"adhere to","[""adheres to"",""adhering to"",""adhered to""]","[""to obey a rule, law, agreement etc"",""to support or believe in an idea, plan, opinion etc""]","[""His followers adhere to a blend of Buddhist, Hindu, and Christian teachings."",""We must strictly adhere to the terms of the contract.""]",\N,\N,"Medium",\N
"adjourn to","[""adjourns to"",""adjourning to"",""adjourned to""]","[""to leave one place and move to another""]","[""Let’s adjourn to the bar.""]",\N,\N,"Hard",\N
"admit of","[""admits of"",""admitting of"",""admitted of""]","[""to show that something is possible""]",\N,\N,\N,"Hard",\N
"agree with","[""agrees with"",""agreeing with"",""agreed with""]","[""if a situation or way of living agrees with you, you enjoy it and feel happy and relaxed"",""if something such as food or drink agrees with you, it does not make you feel ill"",""to think that something is the right thing to do"",""when a verb group changes according to whether its subject is singular or plural. In English, this affects only the simple present, which adds an ‘s’ to the infinitive in the third person singular: ‘I want’ but ‘she wants’. The verbs ‘be’, ‘have’, and ‘do’ are irregular: ‘I am’, ‘you are’, ‘she is’; ‘I have’, ‘she has’; and ‘I do’, ‘she does’. In the sentences ‘A thorough search was carried out’, ‘It doesn’t matter’, and ‘The course has given me more confidence’, the verb groups ‘was carried out’, ‘doesn’t matter’, and ‘has given’ all agree with their subjects.""]","[""He doesn’t agree with giving money to beggars."",""I don’t agree with corporal punishment in schools."",""I find that country life really agrees with me."",""Stop taking the medicine if it doesn’t agree with you.""]",\N,\N,"Easy",\N
"aim at",\N,"[""intend to achieve"",""to target""]",\N,\N,\N,"Easy",\N
"alight on","[""alights on"",""alighting on"",""alighted on""]","[""to suddenly notice or think of something""]","[""Her eyes alighted on an extraordinary sight.""]",\N,\N,"Hard",\N
"allow for","[""allows for"",""allowing for"",""allowed for""]","[""to consider something when making a plan or calculation""]","[""Beyond that, we have the strongest squad here available to us, allowing for injuries."",""Neither theory allows for the other."",""Take extra clothes to allow for the weather and don't forget an extra pair of shoes."",""The RFU has requested spectators not to bring large bags or rucksacks and advised them to arrive earlier than usual to allow for the enhanced checks."",""The cost of the new road, allowing for inflation, is around £17 million."",""The survey does not allow for the fact that some students are attending part-time.""]",0,"[""accommodate"",""consider"",""plan for"",""take into account""]","Medium",\N
"allow of","[""allows of"",""allowing of"",""allowed of""]","[""to show that something is possible""]","[""The evidence allows of no other interpretation."",""The possibility must be allowed of concepts which are not concepts of any actual thing, and of names which express a sense but have no denotation.""]",\N,\N,"Hard",\N
"amount to",\N,\N,\N,\N,\N,"Medium",\N
"angle for","[""angles for"",""angling for"",""angled for""]","[""to try to make someone give you something without asking for it directly""]","[""She didn’t want Ron thinking that she was angling for sympathy.""]",\N,\N,"Medium",\N
"answer back","[""answers back"",""answering back"",""answered back""]","[""to reply rudely to someone who has more authority than you""]","[""A survey of 2,000 parents suggests this is the age when children answer back and become influenced by their peers."",""At school he was bullied for his weight but says he always answered back."",""But there are ways of answering back."",""Don’t you dare answer me back!"",""I don’t like children who answer back."",""I'm not going to answer back."",""It is his way of answering back those who doubted him."",""It's a festival where writers get an opportunity to meet their audiences - but their audiences also get to answer back."",""So what happens is one sees another one calling and waves, and the other one waves an answer back."",""The way you answer back, his father sang."",""You are answering back, get up that hill.""]",2,\N,"Medium",\N
"answer for","[""answers for"",""answering for"",""answered for""]","[""to agree to be responsible for something"",""to be responsible for a lot of bad things that have happened"",""used for emphasizing that you cannot say what someone else will do or think about something""]","[""But this week he has a lot to answer for."",""He will have to answer for the detailed handling of the operation."",""I can’t answer for my colleagues, but as far as I’m concerned this is a great proposal."",""The managers of that company have a lot to answer for."",""Yes, the average rock festival has a lot to answer for."",""You have to answer for any problems that happen during the show.""]",0,"[""atone for"",""make amends for"",""pay for"",""suffer for""]","Medium",\N
"answer to","[""answers to"",""answering to"",""answered to""]","[""if an animal answers to the name of something, it comes to you when you call it this name"",""to have a particular name"",""to have to explain to someone why you did something""]","[""I answer to no one except the president."",""a small boy answering to the name of Andrew""]",\N,\N,"Medium",\N
"argue down",\N,"[""beat someone in a debate, discussion or argument"",""persuade someone to drop the price of something they're selling"",""try to persuade people not to accept a proposition, motion, etc""]",\N,\N,\N,"Hard",\N
"argue out",\N,"[""argue about a problem to find a solution""]",\N,\N,\N,"Hard",\N
"arrive at","[""arrives at"",""arriving at"",""arrived at""]","[""to reach a result, decision, or solution to a problem""]","[""How did they arrive at that figure?"",""The two studies arrive at very different conclusions.""]",\N,\N,"Easy",\N
"arse around",\N,\N,\N,\N,\N,"Hard",\N
"ask about",\N,"[""ask how someone is doing, especially professionally and in terms of health""]",\N,\N,\N,"Easy",\N
"ask after","[""asks after"",""asking after"",""asked after""]","[""to ask for news about someone""]","[""He was about to ask after Paula when the kitchen door opened and she appeared lugging a rubbish sack."",""I met Bob and he asked after you."",""I would engage him in conversation, ask after his health and that of his family, and tell him it was good to hear his voice."",""`I thought you might be calling to ask after that guy you sent us.""]",1,\N,"Medium",\N
"ask around","[""asks around"",""asking around"",""asked around""]","[""to ask several people for information or advice""]","[""Ask around and find out if it is."",""I asked around, but nobody had seen him for days."",""I'm 17 and have been asking around for plumbing apprenticeships for a good 4 months now."",""It may only be known by those already working in your chosen field, so ask around.""]",0,\N,"Easy",\N
"ask for","[""asks for"",""asking for"",""asked for""]","[""to behave in a way that makes it likely that a particular unpleasant thing will happen to you"",""to say that you want someone to come and speak to you"",""to speak or write to someone because you want them to give you something"",""used for emphasizing that something is so good that nothing could be better""]","[""Anyone who drives while they’re drunk is just asking for it."",""He’s always reluctant to ask for anyone’s help."",""I couldn’t ask for a more caring bunch of people to work with."",""She’s asking for trouble speaking to people like that."",""There’s someone in the shop asking for the manager."",""We couldn’t have asked for better weather.""]",\N,\N,"Easy",\N
"ask in",\N,"[""to invite somebody into your house""]",\N,\N,\N,"Medium",\N
"ask out","[""asks out"",""asking out"",""asked out""]","[""to invite someone to go with you to a cinema, restaurant etc because you want to start a romantic or sexual relationship with them""]","[""Finally he asked her out."",""Let her breathe the air outside of Sanctuary for a time and then ask her the same question."",""She was rather disgusted that she had not thought to ask Filip to pack any food."",""Walter, she checked into that hotel alone - don't ask me why, I can't explain it."",""We're friends, so I'm going to keep my temper and ask you what you're suggesting.""]",5,\N,"Easy",\N
"ask over",\N,"[""invite""]",\N,\N,\N,"Medium",\N
"ask round",\N,"[""invite someone""]",\N,\N,\N,"Hard",\N
"associate with","[""associates with"",""associating with"",""associated with""]","[""to say publicly that you support someone or agree with something"",""to spend time with someone""]","[""While she was in Paris, she associated with many well-known artists.""]",\N,\N,"Medium",\N
"attend to","[""attends to"",""attending to"",""attended to""]","[""to deal with something or someone"",""to serve a customer in a shop, restaurant etc""]","[""Are you being attended to?"",""He likes work that requires him to attend to a lot of detail."",""Please take a seat and I’ll ask someone to attend to you."",""We still have a number of other matters to attend to.""]",\N,\N,"Medium",\N
"auction off",\N,"[""sell something in an auction""]",\N,\N,\N,"Medium",\N
"average out","[""averages out"",""averaging out"",""averaged out""]","[""to calculate the average of a set of numbers or amounts"",""to have a particular number or amount as an average""]","[""Total contributions average out at over £1,000 a week.""]",0,\N,"Medium",\N
"awaken to","[""awakens to"",""awakening to"",""awakened to""]","[""to begin to notice something, or to make someone begin to notice something, especially danger""]","[""It took them many years to awaken to the dangers they were facing."",""Someone needed to awaken Gavin to the fact that his marriage was in danger.""]",\N,\N,"Medium",\N
"back away","[""backs away"",""backing away"",""backed away""]","[""to gradually become less involved in something"",""to move away backwards from someone, for example because you are afraid""]","[""The World Bank is backing away from big infrastructure projects."",""The photo showed a woman backing away from a man with a gun.""]",0,\N,"Easy",\N
"back down","[""backs down"",""backing down"",""backed down""]","[""to stop asking for something, or to stop saying that you will do something, because a lot of people oppose you""]","[""But he backed down after furious critics said transparency was vital to public trust."",""How do we get him back down there?"",""Neither side is willing to back down."",""We will not back down on the decision to strike.""]",3,"[""collapse"",""give in"",""withdraw"",""yield""]","Easy",\N
"back into",\N,"[""enter a parking area in reverse gear""]",\N,\N,\N,"Medium",\N
"back off","[""backs off"",""backing off"",""backed off""]","[""to move backwards in order to get further away from something"",""to stop criticizing someone or telling them what to do""]","[""Back off, will you? I’ll tell you when I’m ready!"",""Everyone back off and let the doctor through."",""Her long copper-colored hair was tied back off her face, a few wavy strands curling free."",""Peering past his nose ring, the diminutive bartender didn't blink, and he didn't back off either."",""She sat cross-legged on the rock, the mountain breeze playing with her hair, drawing it back off her face."",""The dazzling sunlight bounced back off the swimming pool, a painful emerald glare.""]",2,"[""go back"",""recoil"",""retire"",""withdraw""]","Easy",\N
"back onto","[""backs onto"",""backing onto"",""backed onto""]","[""if a building, garden etc backs onto a place, that place is directly behind it""]","[""a field that backs onto a railway line""]",\N,\N,"Hard",\N
"back out","[""backs out"",""backing out"",""backed out""]","[""to decide not to do something you agreed to do""]","[""He brushed it back out of his eyes, intrigued enough to say: `Yes, once."",""He doesn't want her back out of love, or out of his desperation to make a good album."",""Her lips twisted in wry acknowledgement, then she found reverse gear and let in the clutch to back out."",""I promised to help and I’m not backing out now."",""I'd like you to take care of Mr. Bonham and get him back out to the Wasp, next available transportation."",""We’re hoping that no one will back out of the deal.""]",2,"[""give up"",""pull out"",""retire"",""withdraw""]","Easy",\N
"back out of","[""back out"",""backs out"",""backing out"",""backed out""]","[""to decide not to do something you agreed to do""]","[""I promised to help and I’m not backing out now."",""We’re hoping that no one will back out of the deal.""]",\N,\N,"Medium",\N
"back up","[""backs up"",""backing up"",""backed up""]","[""if a system backs up, or if it is backed up, it has slowed down or stopped working because there is too much of something for it to deal with"",""if a toilet, sink, or drain backs up, or if it is backed up, water cannot flow through it because something is blocking it"",""if traffic backs up, or if it is backed up, the vehicles are in a long line and waiting to continue moving"",""to give support to someone by telling other people that you agree with them"",""to make a car go backwards"",""to make a copy of information on your computer"",""to move backwards a short distance"",""to show that an explanation or belief is probably true"",""used for telling someone to return to something that was said earlier""]","[""All the evidence backs up her story."",""Back up: didn’t you say they had already met?"",""Cars were backed up for miles."",""I need everyone to back up about 10 paces."",""If I ask for more money will you back me up?"",""I’ll back the car up the driveway."",""Orders are really backed up this month."",""See if you can back up a bit further."",""The notion that our southern friends take more risks seems to be backed up by the statistics."",""There are fears that stinking sewage may back up into homes and businesses."",""Traffic is backing up on all out-of-town routes.""]",3,"[""aid"",""assist"",""second"",""support""]","Easy",\N
"bag out",\N,"[""criticise""]",\N,\N,\N,"Medium",\N
"bag up","[""bags up"",""bagging up"",""bagged up""]","[""same as bag""]","[""They’ll only accept coins that have been bagged up.""]",0,\N,"Easy",\N
"bail out","[""bails out"",""bailing out"",""bailed out""]","[""to empty water from a boat using a small container"",""to escape from a plane by parachute"",""to give money to a court when someone is allowed to stay out of prison while they wait for their trial"",""to help a person or organization that is having problems, especially financial problems"",""to leave a project, situation, or relationship, especially when it becomes difficult""]","[""And then, because of the FDIC, the taxpayers had to bail out the banks."",""Investors bailed out of high-tech stocks as prices plunged."",""My father got a lawyer and bailed me out."",""The government has already bailed the project out once before.""]",2,"[""escape"",""get away"",""retreat"",""withdraw""]","Easy",\N
"bail out of","[""bail out"",""bails out"",""bailing out"",""bailed out""]","[""to empty water from a boat using a small container"",""to escape from a plane by parachute"",""to give money to a court when someone is allowed to stay out of prison while they wait for their trial"",""to help a person or organization that is having problems, especially financial problems"",""to leave a project, situation, or relationship, especially when it becomes difficult""]","[""Investors bailed out of high-tech stocks as prices plunged."",""My father got a lawyer and bailed me out."",""The government has already bailed the project out once before.""]",\N,\N,"Medium",\N
"bail out on",\N,"[""stop supporting someone when they are in trouble""]",\N,\N,\N,"Medium",\N
"bail up",\N,"[""rob someone at gunpoint"",""talk to someone and delay them""]",\N,\N,\N,"Hard",\N
"balance out","[""balances out"",""balancing out"",""balanced out""]","[""same as balance""]","[""Don’t worry – it’ll all balance out in the end."",""The tangy fruit balances out the creaminess of the sauce.""]",0,\N,"Medium",\N
"balance up","[""balances up"",""balancing up"",""balanced up""]","[""to make two different things equal in amount or value""]","[""We need to balance up inequality of treatment between men and women.""]",\N,\N,"Hard",\N
"bale out","[""bales out"",""baling out"",""baled out""]","[""to bail out of a difficult situation"",""to bail out of a plane""]",\N,\N,\N,"Hard",\N
"ball up",\N,"[""confuse or make things complicated"",""roll or form into a round shape""]",\N,\N,\N,"Medium",\N
"balls up","[""ballses up"",""ballsing up"",""ballsed up""]","[""to do something very badly and make a lot of mistakes""]",\N,1,\N,"Hard",\N
"band together","[""bands together"",""banding together"",""banded together""]","[""to come together as a group in order to achieve something""]","[""A small group of survivors band together and go in search of a safe haven in an America that has been overrun by ravenous zombies."",""But ugly people do not band together: there is no conscious group formation around the idea of ugly."",""It was envisaged that some might then wish to become landscape gardeners while others would band together to buy small farms sold to them by Mrs Belmont."",""The various opposition groups have banded together to form a single party."",""Their threat: that they will band together and protect themselves from Chinese imports with tariffs and other measures.""]",0,"[""group"",""join"",""league"",""unite""]","Medium",\N
"bang about",\N,"[""move in a place making a lot of noise""]",\N,\N,\N,"Hard",\N
"bang around",\N,"[""move in a place making a lot of noise""]",\N,\N,\N,"Medium",\N
"bang on","[""bangs on"",""banging on"",""banged on""]","[""to talk about something for a long time in a boring and annoying way""]","[""Is she still banging on about the neighbours?"",""My look is set to be bang on trend."",""This autumn it was bang on cue.""]",2,\N,"Medium",\N
"bang on about","[""bang on"",""bangs on"",""banging on"",""banged on""]","[""to talk about something for a long time in a boring and annoying way""]","[""Is she still banging on about the neighbours?""]",0,\N,"Hard",\N
"bang out","[""bangs out"",""banging out"",""banged out""]","[""to play a tune on the piano very loudly and not very well"",""to produce something of bad quality in large quantities""]",\N,0,\N,"Medium",\N
"bang up","[""bangs up"",""banging up"",""banged up""]","[""to damage something such as a vehicle"",""to put someone in prison""]","[""He spent seven years banged up in a prison cell."",""How did your truck get all banged up?"",""I came past the stables just before the storm broke---there's a bang-up pair of greys stabled there.""]",0,\N,"Medium",\N
"bank in","[""banks in"",""banking in"",""banked in""]","[""to pay money into a bank""]","[""The dogs have been vaccinated now, and we have banked in the money to the vet directly.""]",\N,\N,"Hard",\N
"bank on","[""banks on"",""banking on"",""banked on""]","[""to depend on something happening or on someone doing something""]","[""Indeed, some pharmaceutical manufacturers are banking on it."",""She is upbeat about the polls and is banking on an unpopular president and an unpopular war."",""They are banking on the future being good."",""They’re banking on him to save the match.""]",2,"[""depend on"",""look to"",""rely on"",""trust (in)""]","Medium",\N
"bank up","[""banks up"",""banking up"",""banked up""]","[""to make something into a pile"",""to put a lot of coal onto a fire so that it will burn slowly and for a long time""]","[""Before going to bed, she banked up the fire."",""Soil was banked up against the wall.""]",\N,\N,"Hard",\N
"bargain down",\N,"[""persuade someone to drop the price of something they're selling""]",\N,\N,\N,"Medium",\N
"bargain for",\N,"[""expect something to happen (usually negative)""]",\N,\N,\N,"Medium",\N
"bargain on","[""bargains on"",""bargaining on"",""bargained on""]","[""to expect something to happen, often because something else depends on it""]","[""She’s bargaining on me changing my mind.""]",\N,\N,"Medium",\N
"barge in","[""barges in"",""barging in"",""barged in""]","[""to enter a room suddenly and noisily, usually interrupting someone in a rude way""]","[""He just barged in on us in the middle of a meeting."",""The kids just barge in without knocking.""]",0,\N,"Easy",\N
"barge into",\N,"[""enter a place and interrupt people rudely""]",\N,\N,\N,"Easy",\N
"base on","[""bases on"",""basing on"",""based on""]","[""to use particular ideas or facts to make a decision, do a calculation, or develop a theory"",""to use something as a model for a film, piece of writing, or work of art""]","[""Green politics are based on the belief that the resources of the planet are finite."",""He bases his designs on Roman mosaics."",""Prices are based on two people sharing a room."",""The film is based on a true story."",""The prosecution’s case is based largely on evidence from ex-members of the gang.""]",\N,\N,"Easy",\N
"bash about",\N,"[""mistreat physically""]",\N,\N,\N,"Medium",\N
"bash away at","[""bashes away at"",""bashing away at"",""bashed away at""]","[""to continue to work hard on something""]","[""She’s still bashing away at her last chapter.""]",\N,\N,"Hard",\N
"bash in",\N,"[""break, damage or injure by hitting""]",\N,\N,\N,"Medium",\N
"bash on","[""bashes on"",""bashing on"",""bashed on""]","[""to continue to do something when you would prefer to stop""]","[""I’d better bash on with this – I’ll see you later.""]",\N,\N,"Hard",\N
"bash out","[""bashes out"",""bashing out"",""bashed out""]","[""to produce something very quickly and without working very hard""]",\N,0,\N,"Medium",\N
"bash up",\N,"[""break, damage or hurt by hitting""]",\N,\N,\N,"Medium",\N
"bat around","[""bats around"",""batting around"",""batted around""]","[""to discuss ideas or plans in an informal way""]",\N,\N,\N,"Medium",\N
"batten on",\N,\N,\N,\N,\N,"Hard",\N
"batter down","[""batters down"",""battering down"",""battered down""]","[""to break a door or gate in order to get through it""]","[""Police battered down her door and found the girl."",""Some escaped after a bouncer battered down a partition wall."",""They battered down the door only to find that the suspect had already been arrested.""]",0,\N,"Hard",\N
"bawl out","[""bawls out"",""bawling out"",""bawled out""]","[""to speak angrily to someone because of something they have done wrong""]",\N,1,\N,"Medium",\N
"be after",\N,"[""try to find or get""]",\N,\N,\N,"Easy",\N
"be along",\N,"[""arrive""]",\N,\N,\N,"Medium",\N
"be away",\N,"[""be elsewhere; on holiday, etc.""]",\N,\N,\N,"Easy",\N
"be cut out for",\N,"[""be suitable, have the necessary qualities""]",\N,\N,\N,"Medium",\N
"be cut up",\N,"[""be upset""]",\N,\N,\N,"Medium",\N
"be down",\N,"[""be depressed"",""be reduced or less""]",\N,\N,\N,"Easy",\N
"be down on",\N,"[""have negative feelings toward someone""]",\N,\N,\N,"Medium",\N
"be down with",\N,"[""be ill""]",\N,\N,\N,"Easy",\N
"be fed up",\N,"[""be bored, upset or sick of something""]",\N,\N,\N,"Easy",\N
"be in",\N,"[""be at home or at work"",""be submitted, arrive""]",\N,\N,\N,"Easy",\N
"be in on",\N,"[""be involved in""]",\N,\N,\N,"Medium",\N
"be into",\N,"[""like""]",\N,\N,\N,"Easy",\N
"be not on",\N,"[""be unacceptable""]",\N,\N,\N,"Hard",\N
"be off",\N,"[""be bad (of food)"",""depart, leave""]",\N,\N,\N,"Easy",\N
"be on",\N,"[""be at the top of one�s game, performing very well"",""be functioning (of machines)"",""take medication or drugs, especially when they affect the person badly"",""take place""]",\N,\N,\N,"Easy",\N
"be on about",\N,"[""mean, try to say""]",\N,\N,\N,"Hard",\N
"be onto",\N,"[""pursue, be aware of someone's true nature""]",\N,\N,\N,"Medium",\N
"be out",\N,"[""be absent from a place""]",\N,\N,\N,"Easy",\N
"be out of",\N,"[""have no more left""]",\N,\N,\N,"Easy",\N
"be out to",\N,"[""attempt""]",\N,\N,\N,"Medium",\N
"be snowed under",\N,"[""have too much work""]",\N,\N,\N,"Medium",\N
"be taken aback",\N,"[""be shocked or surprised""]",\N,\N,\N,"Medium",\N
"be taken with",\N,"[""like something""]",\N,\N,\N,"Medium",\N
"be to do with",\N,"[""be connected with""]",\N,\N,\N,"Medium",\N
"be up",\N,"[""be out of bed"",""have increased or risen"",""when the time for something finishes or expires""]",\N,\N,\N,"Easy",\N
"be up for",\N,"[""be enthusiastic about an upcoming event""]",\N,\N,\N,"Easy",\N
"be up to",\N,"[""be good enough"",""doing something naughty or wrong""]",\N,\N,\N,"Easy",\N
"beam down","[""beams down"",""beaming down"",""beamed down""]","[""in science fiction stories, to send someone down onto a planet from a spacecraft using special electronic equipment""]",\N,\N,\N,"Hard",\N
"beam up","[""beams up"",""beaming up"",""beamed up""]","[""in science fiction stories, to bring someone back to their spacecraft using special electronic equipment""]",\N,\N,\N,"Hard",\N
"bear down","[""bears down"",""bearing down"",""bore down"",""borne down""]","[""to move quickly towards someone in a determined and threatening way"",""to push or press downwards""]","[""I can't have a wobbly surface when I'm trying to bear down."",""I could see a police car bearing down on us."",""I'd run this gauntlet with clients a zillion times, there was nothing to do but bear down and go forward."",""It’s a natural instinct for a woman giving birth to bear down."",""The structure is positioned to bear down on its supports."",""The wind reached Harmony, slamming her boom to port; she began to bear down on Grace."",""These two things seemed to bear down on me with all the weight of a personal failure.""]",1,\N,"Medium",\N
"bear down on","[""bear down"",""bears down"",""bearing down"",""bore down"",""borne down""]","[""to move quickly towards someone in a determined and threatening way"",""to push or press downwards""]","[""I could see a police car bearing down on us."",""It’s a natural instinct for a woman giving birth to bear down."",""The structure is positioned to bear down on its supports.""]",\N,\N,"Hard",\N
"bear on","[""bears on"",""bearing on"",""bore on"",""borne on""]","[""to be connected with something or to influence it""]","[""Do you have any information bearing on his disappearance?""]",\N,\N,"Hard",\N
"bear out","[""bears out"",""bearing out"",""bore out"",""borne out""]","[""to show that something is true or that someone is telling the truth""]","[""However, we did carry out the usual measurements and they bear out her observations."",""I always said – and Rick will bear me out – that this wouldn’t work."",""Now, that could bear out what I've always thought -- that Alec was set up, that he knew too much, and now he wants to blow it sky high."",""Scientific evidence bears out the claim that stress and disease are linked.""]",2,"[""confirm"",""justify"",""prove"",""support""]","Medium",\N
"bear up","[""bears up"",""bearing up"",""bore up"",""borne up""]","[""to behave in a brave way in a very sad or difficult situation""]","[""A few nights ago during the course of a dinner I got an insight into how he is bearing up."",""Asked how he was bearing up under the mounting questions about his economic competence, he was dismissive of the sceptics."",""But his protests of poverty do not bear up to scrutiny."",""I feel all right but am just bearing up."",""Let’s see how he bears up under the pressure."",""Many of those losing their homes are bearing up, making ironic jokes and getting on with salvaging upstairs furniture and white goods.""]",1,"[""cope"",""manage"",""suffer"",""survive""]","Medium",\N
"bear up under","[""bear up"",""bears up"",""bearing up"",""bore up"",""borne up""]","[""to behave in a brave way in a very sad or difficult situation""]","[""Let’s see how he bears up under the pressure.""]",\N,\N,"Hard",\N
"bear with","[""bears with"",""bearing with"",""bore with"",""borne with""]","[""used as a polite way of asking someone to be patient while you do or finish something""]","[""But bear with us here."",""I know it's boring, but bear with me for a bit."",""If you just bear with me for a few more minutes, we’ll have all the paperwork finished.""]",2,"[""be patient with"",""hold on [informal]"",""suffer"",""wait for""]","Medium",\N
